Car_Name,Fuel_Type,Eng_Type,Number_of_Doors,Car_Type,Wheel_Drive,No_of_Cylinder,Car_Mileage,Car_Age,Car_Price,Available
alfa-romero,petrol ,std,2,sedan,fwd,4,130000,9,9109,yes
alfa-romero,petrol ,std,2,sedan,fwd,4,130000,9,9694,yes
alfa-romero,petrol ,std,2,sedan,fwd,6,152000,9,5344,yes
audi,petrol ,std,4,sedan,fwd,4,109000,10,10030,yes
audi,diesel,std,4,sedan,4wd,5,136000,8,6650,yes
audi,petrol ,std,2,sedan,fwd,5,136000,8.5,9863,yes
audi,petrol ,std,4,sedan,fwd,5,136000,8.5,9064,yes
audi,petrol ,std,4,wagon,fwd,5,,8.5,8508,yes
audi,diesel,turbo,4,sedan,fwd,5,131000,8.3,9591,yes
audi,petrol ,turbo,2,sedan,4wd,5,131000,7,6653,yes
bmw,petrol ,std,2,sedan,fwd,4,108000,8.8,11344,yes
bmw,petrol ,std,4,sedan,fwd,4,108000,,11283,yes
bmw,petrol ,std,2,sedan,fwd,6,164000,9,4708,yes
bmw,petrol ,std,4,sedan,fwd,6,164000,9,7643,yes
bmw,petrol ,std,4,sedan,fwd,6,164000,9,4484,no
bmw,petrol ,std,4,sedan,fwd,6,209000,8,8639,yes
bmw,petrol ,std,2,sedan,fwd,6,209000,8,7251,no
bmw,petrol ,std,4,sedan,fwd,6,209000,8,5804,no
chevrolet,petrol ,std,2,sedan,fwd,3,61000,9.5,9221,yes
chevrolet,petrol ,std,2,sedan,fwd,4,90000,9.6,5856,no
chevrolet,petrol ,std,4,sedan,fwd,4,90000,9.6,6458,yes
dodge,petrol ,std,2,sedan,fwd,4,90000,9.4,8993,yes
dodge,petrol ,std,2,sedan,fwd,4,90000,9.4,6208,yes
dodge,petrol ,turbo,2,sedan,fwd,4,98000,7.6,,yes
dodge,petrol ,std,4,sedan,fwd,4,90000,9.4,7274,yes
dodge,petrol ,std,4,sedan,fwd,4,90000,9.4,6657,yes
dodge,petrol ,std,4,sedan,fwd,4,90000,9.4,6355,yes
dodge,petrol ,turbo,4,sedan,fwd,4,98000,7.6,9758,no
dodge,petrol ,std,4,wagon,fwd,4,122000,8.5,7628,yes
dodge,petrol ,turbo,2,sedan,fwd,4,156000,7,7953,no
honda,petrol ,std,2,sedan,fwd,4,92000,9.6,8565,no
honda,petrol ,std,2,sedan,fwd,4,,9.2,8601,yes
honda,petrol ,std,2,sedan,fwd,4,79000,10.1,10938,no
honda,petrol ,std,2,sedan,fwd,4,92000,9.2,7032,no
honda,petrol ,std,2,sedan,fwd,4,92000,9.2,9147,no
honda,petrol ,std,4,sedan,fwd,4,92000,9.2,6670,no
honda,petrol ,std,4,wagon,fwd,4,92000,9.2,,no
honda,petrol ,std,2,sedan,fwd,4,110000,9,9820,no
honda,petrol ,std,2,sedan,fwd,4,110000,9,8940,no
honda,petrol ,std,4,sedan,fwd,4,110000,9,9031,no
honda,petrol ,std,4,sedan,fwd,4,110000,9,6514,yes
honda,petrol ,std,4,sedan,fwd,4,,9,7967,yes
honda,petrol ,std,2,sedan,fwd,4,110000,9.1,7972,yes
isuzu,petrol ,std,4,sedan,fwd,4,111000,8.5,7187,yes
isuzu,petrol ,std,2,sedan,fwd,4,90000,9.6,8023,yes
isuzu,petrol ,std,4,sedan,fwd,4,90000,9.6,,yes
isuzu,petrol ,std,2,sedan,fwd,4,119000,9.2,7193,no
jaguar,petrol ,std,4,sedan,fwd,6,258000,8.1,8112,yes
jaguar,petrol ,std,4,sedan,fwd,6,258000,8.1,7461,no
jaguar,petrol ,std,2,sedan,fwd,6,326000,11.5,5440,no
mazda,petrol ,std,2,sedan,fwd,4,91000,9,8477,yes
mazda,petrol ,std,2,sedan,fwd,4,91000,9,5916,no
mazda,petrol ,std,2,sedan,fwd,4,91000,9,9406,yes
mazda,petrol ,std,4,sedan,fwd,4,91000,9,9787,yes
mazda,petrol ,std,4,sedan,fwd,4,,9,8398,yes
